provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,AE,2021,Top 200,Justin Bieber,1844,29,1,83.075922,168,823,5261490,1844,3
MGD,SPOTIFY,AE,2021,Top 200,Ariana Grande,1756,15,1,98.607631,65,345,3685584,1756,4
MGD,SPOTIFY,AE,2021,Top 200,Pop Smoke,1601,26,10,115.347283,1,196,2840757,1601,5
MGD,SPOTIFY,AE,2021,Top 200,Drake,1580,26,1,87.824051,83,548,4170993,1580,6
MGD,SPOTIFY,AE,2021,Top 200,The Weeknd,1528,12,2,62.859948,214,897,4823483,1528,7
MGD,SPOTIFY,AE,2021,Top 200,XXXTENTACION,1489,9,49,136.862995,0,1,2239533,1489,8
MGD,SPOTIFY,AE,2021,Top 200,Billie Eilish,1464,27,4,91.414617,21,325,3179657,1464,9
MGD,SPOTIFY,AE,2021,Top 200,BTS,1462,27,1,77.553352,133,623,4274502,1462,10
MGD,SPOTIFY,AE,2021,Top 200,Dua Lipa,1399,6,4,63.572552,218,728,4270643,1399,11
MGD,SPOTIFY,AE,2021,Top 200,Doja Cat,1193,14,1,44.550712,319,863,5414240,1193,12
MGD,SPOTIFY,AE,2021,Top 200,Taylor Swift,1193,86,1,120.08969,29,192,2366618,1193,13
MGD,SPOTIFY,AE,2021,Top 200,Travis Scott,1031,7,5,110.299709,2,45,1799535,1031,14
MGD,SPOTIFY,AE,2021,Top 200,Lil Nas X,920,17,1,41.872826,345,653,5164427,920,15
MGD,SPOTIFY,AE,2021,Top 200,Juice WRLD,913,23,14,123.291347,0,64,1550066,913,16
MGD,SPOTIFY,AE,2021,Top 200,Harry Styles,845,4,17,95.24142,0,262,1667473,845,17
MGD,SPOTIFY,AE,2021,Top 200,Lewis Capaldi,728,4,15,58.657967,0,250,1770628,728,18
MGD,SPOTIFY,AE,2021,Top 200,Maroon 5,708,6,14,68.029661,0,246,1675278,708,19
MGD,SPOTIFY,AE,2021,Top 200,The Neighbourhood,693,2,31,97.900433,0,140,1328198,693,20
MGD,SPOTIFY,AE,2021,Top 200,Bruno Mars,592,4,39,132.344595,0,28,930699,592,21
MGD,SPOTIFY,AE,2021,Top 200,The Kid LAROI,576,7,1,60.800347,173,316,3153747,576,22
MGD,SPOTIFY,AE,2021,Top 200,Post Malone,572,5,11,85.655594,0,105,1262493,572,23
MGD,SPOTIFY,AE,2021,Top 200,Adele,545,23,1,83.875229,83,191,1907590,545,24
MGD,SPOTIFY,AE,2021,Top 200,DaBaby,545,5,14,97.988991,0,161,1084204,545,25
MGD,SPOTIFY,AE,2022,Top 200,The Weeknd,765,26,1,69.937255,37,368,2400919,765,1
MGD,SPOTIFY,AE,2022,Top 200,Ed Sheeran,354,8,9,94.056497,13,158,1065910,354,2
MGD,SPOTIFY,AE,2022,Top 200,Olivia Rodrigo,290,5,19,72.42069,0,77,727367,290,3
MGD,SPOTIFY,AE,2022,Top 200,Doja Cat,287,5,6,56.414634,45,216,1020433,287,4
MGD,SPOTIFY,AE,2022,Top 200,The Neighbourhood,262,4,18,83.148855,0,132,687591,262,5
MGD,SPOTIFY,AE,2022,Top 200,Zack Tabudlo,243,5,14,93.580247,0,32,533858,243,6
